Rank,Player,Age,Team,Pos,RBS,AST,STL,BLK,PTS
1,Joel Embiid,29,PHI,C,11,5.6,1.2,1.7,34.7
2,Luka Dončić,24,DAL,PG,9.2,9.8,1.4,0.5,33.9
3,Giannis Antetokounmpo,29,MIL,PF,11.5,6.5,1.2,1.1,30.4
4,Shai Gilgeous-Alexander,25,OKC,PG,5.5,6.2,2,0.9,30.1
5,Jalen Brunson,27,NYK,PG,3.6,6.7,0.9,0.2,28.7
6,Devin Booker,27,PHO,PG,4.5,6.9,0.9,0.4,27.1
7,Kevin Durant,35,PHO,PF,6.6,5,0.9,1.2,27.1
8,Jayson Tatum,25,BOS,PF,8.1,4.9,1,0.6,26.9
9,De'Aaron Fox,26,SAC,PG,4.6,5.6,2,0.4,26.6
10,Donovan Mitchell,27,CLE,SG,5.1,6.1,1.8,0.5,26.6
11,Stephen Curry,35,GSW,PG,4.5,5.1,0.7,0.4,26.4
12,Nikola Jokić,28,DEN,C,12.4,9,1.4,0.9,26.4
13,Anthony Edwards,22,MIN,SG,5.4,5.1,1.3,0.5,25.9
14,Tyrese Maxey,23,PHI,PG,3.7,6.2,1,0.5,25.9
15,LeBron James,39,LAL,PF,7.3,8.3,1.3,0.5,25.7
16,Trae Young,25,ATL,PG,2.8,10.8,1.3,0.2,25.7
17,Kyrie Irving,31,DAL,SG,5,5.2,1.3,0.5,25.6
18,Ja Morant,24,MEM,PG,5.6,8.1,0.8,0.6,25.1
19,Anthony Davis,30,LAL,C,12.6,3.5,1.2,2.3,24.7
20,Damian Lillard,33,MIL,PG,4.4,7,1,0.2,24.3
21,DeMar DeRozan,34,CHI,SF,4.3,5.3,1.1,0.6,24
22,Julius Randle,29,NYK,PF,9.2,5,0.5,0.3,24
23,LaMelo Ball,22,CHO,PG,5.1,8,1.8,0.2,23.9
24,Desmond Bane,25,MEM,SG,4.4,5.5,1,0.5,23.7
25,Kawhi Leonard,32,LAC,SF,6.1,3.6,1.6,0.9,23.7
26,Lauri Markkanen,26,UTA,PF,8.2,2,0.9,0.5,23.2
27,Jaylen Brown,27,BOS,SF,5.5,3.6,1.2,0.5,23
28,Zion Williamson,23,NOP,PF,5.8,5,1.1,0.7,22.9
29,Cade Cunningham,22,DET,PG,4.3,7.5,0.9,0.4,22.7
30,Paolo Banchero,21,ORL,PF,6.9,5.4,0.9,0.6,22.6
31,Paul George,33,LAC,PF,5.2,3.5,1.5,0.5,22.6
32,Anfernee Simons,24,POR,SG,3.6,5.5,0.5,0.1,22.6
33,Jaren Jackson Jr.,24,MEM,C,5.5,2.3,1.2,1.6,22.5
34,Dejounte Murray,27,ATL,SG,5.3,6.4,1.4,0.3,22.5
35,Cam Thomas,22,BRK,SG,3.2,2.9,0.7,0.2,22.5
36,Kyle Kuzma,28,WAS,PF,6.6,4.2,0.5,0.7,22.2
37,Karl-Anthony Towns,28,MIN,PF,8.3,3,0.7,0.7,21.8
38,Pascal Siakam,29,2TM,PF,7.1,4.3,0.8,0.3,21.7
39,Victor Wembanyama,20,SAS,C,10.6,3.9,1.2,3.6,21.4
40,Jamal Murray,26,DEN,PG,4.1,6.5,1,0.7,21.2
41,Alperen Şengün,21,HOU,C,9.3,5,1.2,0.7,21.1
42,Miles Bridges,25,CHO,SF,7.3,3.3,0.9,0.5,21
43,Jerami Grant,29,POR,PF,3.5,2.8,0.8,0.6,21
44,Jimmy Butler,34,MIA,PF,5.3,5,1.3,0.3,20.8
45,Tyler Herro,24,MIA,SG,5.3,4.5,0.7,0.1,20.8
46,Brandon Ingram,26,NOP,SF,5.1,5.7,0.8,0.6,20.8
47,RJ Barrett,23,2TM,SG,5.4,3.3,0.5,0.4,20.2
48,Tyrese Haliburton,23,IND,PG,3.9,10.9,1.2,0.7,20.1
49,Kristaps Porziņģis,28,BOS,C,7.2,2,0.7,1.9,20.1
50,CJ McCollum,32,NOP,PG,4.3,4.6,0.9,0.6,20
51,Scottie Barnes,22,TOR,SG,8.2,6.1,1.3,1.5,19.9
52,Terry Rozier,29,2TM,SG,4,5.6,1,0.3,19.8
53,Franz Wagner,22,ORL,SF,5.3,3.7,1.1,0.4,19.7
54,Mikal Bridges,27,BRK,SF,4.5,3.6,1,0.4,19.6
55,Jalen Green,21,HOU,SG,5.2,3.5,0.8,0.3,19.6
56,Zach LaVine,28,CHI,SG,5.2,3.9,0.8,0.3,19.5
57,Devin Vassell,23,SAS,SG,3.8,4.1,1.1,0.3,19.5
58,Domantas Sabonis,27,SAC,C,13.7,8.2,0.9,0.6,19.4
59,Bam Adebayo,26,MIA,C,10.4,3.9,1.1,0.9,19.3
60,Coby White,23,CHI,PG,4.5,5.1,0.7,0.2,19.1
61,Jalen Williams,22,OKC,PF,4,4.5,1.1,0.6,19.1
62,Collin Sexton,25,UTA,SG,2.6,4.9,0.8,0.2,18.7
63,Bradley Beal,30,PHO,SG,4.4,5,1,0.5,18.2
64,Darius Garland,24,CLE,PG,2.7,6.5,1.3,0.1,18
65,D'Angelo Russell,27,LAL,PG,3.1,6.3,0.9,0.5,18
66,Nikola Vučević,33,CHI,C,10.5,3.3,0.7,0.8,18
67,Klay Thompson,33,GSW,SF,3.3,2.3,0.6,0.5,17.9
68,Jordan Poole,24,WAS,SG,2.7,4.4,1.1,0.3,17.4
69,Fred VanVleet,29,HOU,PG,3.8,8.1,1.4,0.8,17.4
70,Brandon Miller,21,CHO,SF,4.3,2.4,0.9,0.6,17.3
71,Tobias Harris,31,PHI,PF,6.5,3.1,1,0.7,17.2
72,Jordan Clarkson,31,UTA,SG,3.4,5,0.6,0.1,17.1
73,Myles Turner,27,IND,C,6.9,1.3,0.5,1.9,17.1
74,Immanuel Quickley,24,2TM,SG,3.8,4.9,0.7,0.1,17
75,Bogdan Bogdanović,31,ATL,SG,3.4,3.1,1.2,0.3,16.9
76,Deandre Ayton,25,POR,C,11.1,1.6,1,0.8,16.7
77,Michael Porter Jr.,25,DEN,SF,7,1.5,0.5,0.7,16.7
78,James Harden,34,LAC,PG,5.1,8.5,1.1,0.8,16.6
79,Jarrett Allen,25,CLE,C,10.5,2.7,0.7,1.1,16.5
80,Chet Holmgren,21,OKC,C,7.9,2.4,0.6,2.3,16.5
81,Jonathan Kuminga,21,GSW,PF,4.8,2.2,0.7,0.5,16.1
82,Jalen Johnson,22,ATL,SF,8.7,3.6,1.2,0.8,16
83,Austin Reaves,25,LAL,SG,4.3,5.5,0.8,0.3,15.9
84,Shaedon Sharpe,20,POR,SG,5,2.9,0.9,0.4,15.9
85,Malcolm Brogdon,31,POR,PG,3.8,5.5,0.7,0.2,15.7
86,Keldon Johnson,24,SAS,SF,5.5,2.8,0.7,0.3,15.7
87,Evan Mobley,22,CLE,PF,9.4,3.2,0.9,1.4,15.7
88,De'Andre Hunter,26,ATL,SF,3.9,1.5,0.7,0.3,15.6
89,Donte DiVincenzo,27,NYK,SG,3.7,2.7,1.3,0.4,15.5
90,Jaden Ivey,21,DET,SG,3.4,3.8,0.7,0.5,15.4
91,Malik Monk,25,SAC,SG,2.9,5.1,0.6,0.5,15.4
92,Kelly Oubre Jr.,28,PHI,SF,5,1.5,1.1,0.7,15.4
93,Bojan Bogdanović,34,2TM,PF,2.7,1.7,0.5,0.1,15.2
94,Keegan Murray,23,SAC,SF,5.5,1.7,1,0.8,15.2
95,Derrick White,29,BOS,SG,4.2,5.2,1,1.2,15.2
96,John Collins,26,UTA,PF,8.5,1.1,0.6,0.9,15.1
97,Khris Middleton,32,MIL,SF,4.7,5.3,0.9,0.3,15.1
98,Trey Murphy III,23,NOP,SF,4.9,2.2,0.9,0.5,14.8
99,OG Anunoby,26,2TM,SF,4.2,2.1,1.4,0.7,14.7
100,Deni Avdija,23,WAS,SF,7.2,3.8,0.8,0.5,14.7
101,GG Jackson II,19,MEM,PF,4.1,1.2,0.6,0.5,14.6
102,Bennedict Mathurin,21,IND,SF,4,2,0.6,0.2,14.5
103,Marcus Smart,29,MEM,PG,2.7,4.3,2.1,0.3,14.5
104,Tim Hardaway Jr.,31,DAL,SF,3.2,1.8,0.5,0.1,14.4
105,Dennis Schröder,30,2TM,PG,3,6.1,0.8,0.2,14
106,Rudy Gobert,31,MIN,C,12.9,1.3,0.7,2.1,14
107,Scoot Henderson,19,POR,PG,3.1,5.4,0.8,0.2,14
108,Caris LeVert,29,CLE,SG,4.1,5.1,1.1,0.5,14
109,Aaron Gordon,28,DEN,PF,6.5,3.5,0.8,0.6,13.9
110,Norman Powell,30,LAC,SG,2.6,1.1,0.6,0.3,13.9
111,Jalen Duren,20,DET,C,11.6,2.4,0.5,0.8,13.8
112,Bobby Portis,28,MIL,PF,7.4,1.3,0.8,0.4,13.8
113,Saddiq Bey,24,ATL,SF,6.5,1.5,0.8,0.2,13.7
114,Jabari Smith Jr.,20,HOU,PF,8.1,1.6,0.7,0.8,13.7
115,Gary Trent Jr.,25,TOR,SG,2.6,1.7,1.1,0.1,13.7
116,Rui Hachimura,25,LAL,PF,4.3,1.2,0.6,0.4,13.6
117,Grayson Allen,28,PHO,SG,3.9,3,0.9,0.6,13.5
118,Naz Reid,24,MIN,PF,5.2,1.3,0.8,0.9,13.5
119,Cameron Johnson,27,BRK,PF,4.3,2.4,0.8,0.3,13.4
120,Corey Kispert,24,WAS,SF,2.8,2,0.5,0.2,13.4
121,Andrew Wiggins,28,GSW,SF,4.5,1.7,0.6,0.6,13.2
122,Keyonte George,20,UTA,PG,2.8,4.4,0.5,0.1,13
123,P.J. Washington,25,2TM,PF,5.6,1.9,1,0.8,12.9
124,Scotty Pippen Jr.,23,MEM,PG,3.2,4.7,1.7,0.5,12.9
125,Duncan Robinson,29,MIA,SF,2.5,2.8,0.7,0.2,12.9
126,Dillon Brooks,28,HOU,SF,3.4,1.7,0.9,0.1,12.7
127,Mark Williams,22,CHO,C,9.7,1.2,0.8,1.1,12.7
128,Jalen Suggs,22,ORL,SG,3.1,2.7,1.4,0.6,12.6
